COUNTRY,DIALING CODE
Afghanistan,+93
Albania,+355
Algeria,+213
Angola,+244
Antigua and Barbuda,+1
Argentina,+54
Armenia,+374
Australia,+61
Austria,+43
Azerbaijan,+994
Bahamas,+1
Bahrain,+973
Bangladesh,+880
Barbados,+1
Belarus,+375
Belgium,+32
Belize,+501
Benin,+229
Bhutan,+975
Bosnia and Herzegovina,+387
Botswana,+267
Brazil,+55
Bulgaria,+359
Burkina Faso,+226
Burundi,+257
Cambodia,+855
Cameroon,+237
Canada,+1
Cape Verde,+238
Central African Republic,+236
Chad,+235
Chile,+56
China,+86
Colombia,+57
Congo (DRC),+243
Congo (Republic),+242
Costa Rica,+506
Croatia,+385
Cuba,+53
Czech Republic,+420
Denmark,+45
Dominica,+1
Dominican Republic,+1
Egypt,+20
El Salvador,+503
Equatorial Guinea,+240
Ethiopia,+251
Finland,+358
France,+33
Gabon,+241
Gambia,+220
Georgia,+995
Germany,+49
Ghana,+233
Greece,+30
Grenada,+1
Guatemala,+502
Guinea,+224
Haiti,+509
Honduras,+504
Hungary,+36
India,+91
Indonesia,+62
Iran,+98
Iraq,+964
Israel,+972
Italy,+39
Ivory Coast,+225
Jamaica,+1
Japan,+81
Jordan,+962
Kazakhstan,+7
Kenya,+254
Kosovo,+383
Kuwait,+965
Kyrgyzstan,+996
Laos,+856
Lebanon,+961
Lesotho,+266
Liberia,+231
Libya,+218
Macedonia,+389
Malaysia,+60
Maldives,+960
Mali,+223
Mexico,+52
Moldova,+373
Mongolia,+976
Montenegro,+382
Morocco,+212
Mozambique,+258
Myanmar,+95
Namibia,+264
Nepal,+977
Netherlands,+31
New Zealand,+64
Nicaragua,+505
Niger,+227
Nigeria,+234
Norway,+47
Oman,+968
Pakistan,+92
Palestine,+970
Panama,+507
Philippines,+63
Poland,+48
Portugal,+351
Puerto Rico,+1
Qatar,+974
Romania,+40
Russia,+7
Rwanda,+250
Saint Kitts and Nevis,+1
Saint Lucia,+1
Saint Vincent and the Grenadines,+1
Sao Tome and Principe,+239
Saudi Arabia,+966
Senegal,+221
Serbia,+381
Sierra Leone,+232
Singapore,+65
Slovakia,+421
Slovenia,+386
Somalia,+252
South Africa,+27
South Korea,+82
South Sudan,+211
Spain,+34
Sri Lanka,+94
Sudan,+249
Swaziland,+268
Sweden,+46
Switzerland,+41
Syria,+963
Tajikistan,+992
Tanzania,+255
Thailand,+66
Togo,+228
Trinidad and Tobago,+1
Tunisia,+216
Turkey,+90
Turkmenistan,+993
Uganda,+256
Ukraine,+380
United Arab Emirates,+971
United Kingdom,+44
United States,+1
Uzbekistan,+998
Vietnam,+84
Yemen,+967
Zambia,+260
Zimbabwe,+263
